Student_ID,Age,Faculty,Year_of_Study,City,Accommodation,Scholarship,Part_Time_Job,Internet_Quality,Preferred_Study_Space,Weekly_Study_Hours,Average_Sleep_Hours,Daily_Screen_Time_Hours,Exercise_Days_Per_Week,Commute_Time_Minutes,Stress_Score,Academic_Readiness_Score,Overall_Satisfaction,Monthly_Discretionary_Spending,Social_Activity_Hours_Per_Week
STU0001,21,Data Science,3,Bengaluru,Hostel,No,Yes,Good,Café,15.2,5.7,3.2,3,11.8,5.4,63.1,3.2,5131.0,7.8
STU0002,21,Data Science,4,Pune,Hostel,Yes,No,Poor,Library,17.6,7.7,3.5,4,20.3,2.1,74.2,3.8,3508.0,9.2
STU0003,22,Life Sciences,2,Chandigarh,Home,Yes,No,Poor,Home,18.9,6.4,2.8,1,15.0,5.2,77.3,4.0,4584.0,7.7
STU0004,18,Business,4,Bengaluru,Hostel,Yes,Yes,Average,Café,19.5,6.7,3.0,5,12.1,4.7,67.0,4.0,5456.0,5.3
STU0005,20,Business,3,Jammu,Shared Apartment,Yes,No,Good,Home,18.4,7.3,3.0,1,30.2,5.4,65.6,3.2,11732.0,15.9
STU0006,19,Data Science,3,Mumbai,Shared Apartment,No,Yes,Excellent,Library,17.1,8.3,1.9,4,8.2,4.4,85.1,3.9,8297.0,4.4
STU0007,22,Arts & Humanities,4,Mumbai,Home,No,No,Excellent,Home,14.6,6.6,2.6,2,30.2,5.1,75.5,4.5,2293.0,4.2
STU0008,22,Arts & Humanities,2,Hyderabad,Shared Apartment,No,No,Good,Home,10.4,6.4,3.6,4,6.6,2.9,63.1,4.1,9709.0,6.8
STU0009,22,Data Science,1,Delhi,Home,No,No,Average,Department Lab,13.8,7.2,5.1,1,31.5,4.3,67.2,4.0,1785.0,7.3
STU0010,20,Data Science,2,Hyderabad,PG,No,No,Poor,Department Lab,12.0,6.5,2.1,3,25.4,2.9,56.1,3.4,5595.0,8.8
STU0011,21,Engineering,1,Chandigarh,Home,Yes,Yes,Excellent,Department Lab,13.5,7.0,2.9,1,10.5,6.1,74.2,5.0,4317.0,12.6
STU0012,22,Business,2,Mumbai,Home,Yes,Yes,Average,Home,12.5,8.5,4.7,5,32.2,4.7,76.0,4.3,4207.0,4.4
